product_id,product_name,category,sub_category,supplier_name,defect_flag
2025,QuOd,OUTdoOr,SofA ,Nagar-Parikh,
2241,AUtEm  ,OxtdoOr ,SOFa,Bava-Panchal,N
2287,ARchITeCTo,HoMe,LAMP   ,Bir-Parmar,0
7409,QUIdEM   ,HomE  ,CHAIr ,"Sharaf, Mital and Kala",Y
2040,FAcERE  ,kitCheN,BeD,Patel-Pau,Y
5438,Et,outDoOr,djSK   ,"Nanda, Mangal and Mann",N
6704,Quaerat,OUtdoOr ,CjaiR  ,"Bhatnagar, Mani and Sachdev",
2865,pLaCeAT   ,offIce   ,TAbLe ,Dass-Dhingra,
6804,exerCitATIoneM ,KrTCHEN,cHAir ,"Nazareth, Kaul and Edwin",Y
5578,adIpiScI  ,kiTCHen ,Sofa,Chauhan Ltd,1
4876,ATQUe   ,hOMe  ,DEsK   ,Sankaran LLC,N
3719,DeBiTIs ,outDOor ,cHair   ,Savant-Bhalla,1
9391,HARuM,KitcHEn   ,Bed   ,Dani-Parikh,N
8840,SAPIeNTE ,KiTChEn  ,beD  ,Dutta and Sons,1
8677,vtniam   ,outdOOR,ChaiR,"Keer, Gour and Som",
1793,dISTInCTIO  ,hOME  ,tablE,"Zacharia, Vyas and Yohannan",0
8832,SOLUTa   ,kiTCHEn,Bed ,Bakshi-Cherian,
1482,neSCiUnt,home ,CHaIR,Kari-Bora,
5714,dOlORemQUE ,HOME ,sofA ,Dube Group,
8572,hIc   ,oFFICE ,TABLe ,"Chakraborty, Arora and Kota",1
7370,debiTis   ,OffiCE  ,CHaIR   ,Patel Ltd,N
7121,NAtus ,oqFIcE,SbFA  ,"Sathe, Shankar and Dayal",1
3799,quas   ,kiTcHEN  ,TablE,"Sastry, Jani and Pant",Y
3518,oMniS,HOME ,tABLe,"Walla, Sarna and Nagi",N
7443,coNSEqUUNtUR   ,OffIcE   ,BEd   ,"Jhaveri, Pandya and Nath",
3549,NEcEssItAtiBUS  ,kITchEn  ,BeD,"Maharaj, Barad and Ravel",
8359,laBorIOsAM  ,kItCheN ,caaIR ,"Dutt, Shan and Chandra",Y
9524,cOnSequUNtUR,oUtDoOr ,TaBLE ,Babu LLC,Y
2174,temPora   ,ofFiCE ,Sofa ,Cherian-Radhakrishnan,0
7675,szMiLIQUE   ,HOme,beD  ,Narain-Dugar,
2015,CONSEquaTuR  ,kitCHen,chAIr  ,Natarajan-Swamy,
6217,VELit ,HoME  ,Lamp  ,Sachdeva-Venkataraman,1
7980,optIo,oUtdOOr,soFa  ,Pai Inc,
7886,SApIENte   ,hoME,ChaIR  ,"Bhatnagar, Master and Som",
4602,eA,hoMe  ,Bed ,Reddy Inc,
8507,distINCtIO ,OFFIcE ,dESk   ,Mutti Group,
5529,aLiQUaM   ,oFFICE   ,deSk  ,Sami LLC,N
8819,FUgiat   ,kITCHEN,SoFa  ,Mammen Ltd,1
9023,MlLEStIaE,kitCHEN  ,dEsK ,"Kata, Bhardwaj and Vasa",1
6267,CUMque ,hOME ,tAbLE  ,"Patla, Merchant and Sankar",
2814,OMnIS   ,OFfICE   ,laMp  ,Krish LLC,0
6485,pOrRo,KiTChEn,chAir ,"Dhillon, Brahmbhatt and Dada",Y
2944,QUo   ,HOmE   ,ChAir  ,"Mistry, Butala and Sarin",
2339,PErfErendIs ,oUTDoOR ,taBLE   ,Kannan-Jaggi,Y
4821,DeseRuNT ,Home,TABLE   ,Lad and Sons,
1791,quIa ,OFficE  ,laMp ,Bose-Yogi,
6374,lfBOrE ,officE  ,LAMp ,Murthy-Soman,
9472,FAcIliS,homE   ,SOFa  ,Mahal-Ravel,1
3973,MAgnI,KmtcHEn   ,ChaIr ,Chaudhuri Group,1
3368,REpEllAt,KItcHEN   ,BhD  ,"Basu, Randhawa and Kata",1
7658,NiSI  ,home ,soFa  ,Wason PLC,
9007,eSt,katcHEn  ,bED   ,Prashad-Prabhakar,N
3052,DeseruNT   ,oFFice ,laMP,Kala PLC,
2212,VxniaM ,OFFiCe,DEsk ,"Sachar, Pandya and Mody",
8416,NAtus  ,HoME   ,Bid,Brahmbhatt-Mukhopadhyay,Y
6163,eXPLIcABo,ofFICe ,BEd ,Raman-Tank,N
8946,iStE ,OffICE,LamP,Desai-Chaudhary,
3535,saePe ,OUtDOoR,lamP ,Oza and Sons,
1234,ODiO   ,ohTdOOR   ,bed,Ramakrishnan-Ghosh,
7521,QUAm   ,HomE  ,soFA ,Chakraborty Ltd,0
9561,Enim,HOme ,dEsk ,"Gole, Virk and Gala",N
7870,EVeNIeT  ,OfFICe,DESK   ,Tank-Ganesh,N
1445,AssuMENDa  ,oUTdoor ,deSK   ,Rout PLC,
4342,eXPEdItA,Home  ,dESK   ,"Tara, Pandey and Sachdeva",Y
3292,iLlo   ,kItchen,Bed ,Mody-Chokshi,
4473,LIBERo,OUTdoOR ,sofa   ,Puri Group,1
5903,MaiOrEs   ,OFfiCE   ,dEsK   ,Mane Inc,
4529,REpuDiaNDAE   ,OutDOor,BED,Anne Inc,
8102,tEMPORA   ,offICe   ,beD  ,Gill Inc,0
5645,dOlOremQuE  ,KitcHEn ,CaAir   ,Karnik-Pillai,N
7507,QdI ,HOmE   ,DEsk ,Sahota Ltd,
5250,rEpudiANdAe ,hoMe ,SOfa   ,"Sibal, Datta and Basu",Y
2095,viTaE   ,oFFiCe ,laMp   ,Merchant Inc,
9589,qUISqUAM ,offiCE ,dESk  ,"Barad, Bhagat and Andra",
6526,cupIDiTate  ,KITCheN  ,soFA   ,"Kala, Sastry and Dar",
8848,ELigEnDi   ,HoMe,dEsk  ,Pau Inc,0
7054,nIHil  ,KITCheN,CsAIr ,Kamdar Inc,
3081,VeRITaTIS,KItcHeN   ,CHaIr ,"Anne, Parikh and Kuruvilla",0
1601,aliQUID,ouTDOor   ,TrbLE ,Saha-Chandra,
7308,DoloRuM  ,ketCHEn  ,CiaIr   ,Golla-Mohanty,
1266,arChiTecTo ,oUTDOor  ,TablE  ,Gill and Sons,0
3124,tEmpoRe  ,OFfiCe  ,chAir ,"Rao, Anand and Sarin",N
7676,A,offICe,ChAir  ,Kalita Group,Y
5502,ToTaM,HomE   ,CHAir,"Solanki, Basak and Luthra",0
1874,ExPlicABo   ,OFFiCe,ChaiR ,Bhavsar-Soni,Y
5704,unde  ,hOmE ,soFA  ,Gade Ltd,1
9379,inVenTORE,kITCheN   ,cHaiR,"Lata, Patel and Aurora",
4591,DeleCtUS   ,home,CHaIr,"Oza, Brahmbhatt and Wali",
5755,doloR  ,oFfICE,CoaIR   ,Sankaran and Sons,Y
9530,teneTuR  ,oFfIce,Desk ,Bakshi-Oza,0
9490,DESeRuNt ,ofFice ,Bed   ,Dugar-Tank,1
1162,MolestIAE ,OfFICE,BEd  ,"Mall, Chaudry and Thaman",Y
5300,adiPIScI ,home   ,TabLe,Borra PLC,Y
8337,DICTa ,oUTDoOr   ,BED   ,"Palla, Rai and Setty",1
7866,IpSam ,KiTcHen   ,cHaiR   ,Dube-Dalal,
5977,FuGIAt,oFFicE,soFA   ,"Nair, Sharaf and Kata",
9359,OMNiS,hoME  ,lamp   ,"Bhatnagar, Din and Sarkar",Y
8209,nAm   ,HOME,chAIR,"Mohanty, Gandhi and Nayar",0
2787,SINt,HomE  ,LcMP  ,Venkataraman and Sons,
8101,VItaE  ,hoME   ,cHAir   ,Thakkar-Tak,0
5255,BLanDiTIiS ,OffiCE ,TAble ,Dhillon PLC,Y
7958,COrruPTI  ,kITcHEn  ,TAble   ,"Gara, Sule and Kapoor",Y
1231,AD  ,OfFiCe ,DEsK ,Chander and Sons,Y
4955,elIGEnDi  ,ofFIcE,TaBlE ,Kurian-Chakraborty,
4518,QuAeRAT,kiTCHen  ,Lamp  ,Roy PLC,0
7583,REPELlEnDUs  ,hOme  ,chaiR ,Luthra-Sachar,
5405,NzM  ,ofFIcE   ,SmfA,Swaminathan LLC,0
9495,euM ,outDooR   ,BeD,Sachar Ltd,Y
1108,sint ,OUTdoOr  ,SOfA  ,Sachdev-Khurana,
9655,CoNsectEtUr ,ouTdOoR,lAmP   ,"Wadhwa, Sheth and Desai",
6682,PossIMUs,officE   ,toBLe ,Sheth-Kumer,
8469,CONSeQuUNtUR,Outdoor   ,snFA  ,"Pillai, Banik and Minhas",1
9051,OMnis  ,kItcHen ,ChAIr,Sekhon-Ganguly,0
5149,vOLuptAtIbUs   ,OFfIce,LaMP  ,Karan-Kade,0
8003,ApErIAM   ,kiTCHen,SOFa ,"Jhaveri, Banik and Nagi",0
1760,diStiNCtio  ,officE  ,SOfa  ,Ghosh LLC,N
4545,faciLis ,homE  ,TaBlE  ,"Rajan, Chandra and Venkatesh",1
6300,totAm ,hOmE   ,TaBlE  ,"Magar, Ramachandran and Merchant",
2836,EOS ,offIcE ,tAbLE,Seth LLC,Y
8432,rATione  ,outDoOR ,LAmP,Jhaveri-Majumdar,1
5969,BlANDITiIs  ,office,dESK  ,"Sengupta, Deol and Barad",
5998,QuI  ,kiTcHen   ,TyBLe  ,"Rajagopal, Contractor and Palan",Y
7074,NECESSiTatIbUs  ,HoME ,cHair ,Vig PLC,
9221,CUPidiTate,offiCe   ,LAmP ,Dugar-Contractor,
6247,ALIQUid,home  ,SOfa  ,Kamdar-Madan,0
6581,dOlOREmQuE ,KitCHeN   ,TabLe   ,Tiwari and Sons,
4895,AD   ,Outdoor   ,tAbLE ,Dash-Jhaveri,0
9783,REpeLLaT  ,HOME,cHAir ,Nigam Inc,1
2822,tmNetUR ,otFICe,DESk,Doctor PLC,0
7810,alIas   ,oUTdoOr   ,chAIr,Ranganathan-Aurora,Y
2054,est  ,offIce  ,LAmP  ,Rau PLC,
3410,MAioReS ,OuTDoOr   ,SOfA   ,"Pandey, Bora and Dave",1
9638,dolorEs,oFFICe   ,DESk,Tiwari and Sons,N
6728,auT   ,OFFiCe   ,dEsK   ,"Rastogi, Tailor and Kumer",
2425,aD   ,Home   ,chaIr   ,"Sahota, Bhattacharyya and Shroff",
4466,hARuM ,OfFIce ,lAmp ,Dar LLC,
2101,RepreHENDeRit   ,hOME ,taBle   ,Palla and Sons,1
1952,ESse  ,HOMe,dEsK   ,Biswas-Nagar,Y
4243,quiS,Home   ,taBLE  ,Kothari Inc,
5706,VERItATiS,OUTDOor  ,SOfa  ,Zacharia-Kapur,
1673,LiberO,OuTDOor  ,deSK ,Chhabra Group,
8911,PossiMuS  ,HoMe   ,LaMp  ,Kashyap and Sons,N
9558,ARcHiTeCtO,hoMe  ,chaIr ,Nagi-Mahajan,
8354,mAGNI  ,oUtdOor  ,desk   ,"Gara, Bhargava and Ganesan",
7678,rqm,hOmE,lAMp,"Yohannan, Patel and Pillay",
4301,et ,KitCHeN   ,desK   ,"Pillai, Kalita and Guha",Y
8986,delECtUs ,oFFICe,LaMp  ,Reddy-Vora,1
9243,aCcUSANTIUm,OuTDoOr,lAmP,Krishnan Ltd,0
1326,QuAm  ,ofFicE ,ChAir   ,Khatri LLC,Y
7037,SlSCIpit  ,oFfICe,DfSk  ,Ramanathan-Gera,
1206,apeRiAM   ,outDoor ,deSK ,"Doctor, Bali and Kota",N
3704,bEATAE ,OFfIce ,SoFa ,"Mital, Kothari and Sani",
5774,MAIoREs,Home,lamp ,"Andra, Sarkar and Ratta",
4784,SED,OUtdoOR,SOfa   ,Kunda-Bath,N
7949,MODI   ,kITcHen  ,ChAIr   ,"Nair, Kumar and Dasgupta",N
7671,ExpliCABO   ,OlfICe   ,beD  ,"Iyengar, Chaudhary and Shan",1
1523,EaruM,KttCHEn   ,DESK   ,Dugar-Sarin,
8686,itaqUE,HoMe ,bED   ,"Deol, Rajan and Choudhury",1
2330,peRFerenDIS  ,OstDoor   ,dcSK  ,Thaman and Sons,Y
7966,RepelLAT ,KwtcheN   ,TAble,Patel-Rana,1
5861,volupTaTum,hOmE,beD   ,"Trivedi, Butala and Batra",
7801,quaS  ,hOmE   ,CHAiR  ,Deep Inc,
8798,EVEniET   ,kITcHen ,Lamp ,"Patil, Batta and Singh",0
6347,asPerioREs,Home ,CdAiR ,Murthy-Murthy,
4158,vOluPtatEs  ,ouTdoor,tablE   ,"Gandhi, Chanda and Joshi",1
9446,PoSsImUS,OuTdooR ,SoFa,Karan-Dutt,N
8664,ACCuSaMus ,OuTDoOR ,laMp ,Luthra-Hora,N
4852,cuMqUe ,HoME   ,Bed   ,"Andra, Ram and Parmer",
6258,IuStO,OFFICe ,taBlE ,Joshi-Handa,1
3990,nOSTrum  ,KstChen,DesK  ,Chaudry-Cheema,0
6867,DEbitIs,offICe   ,sOfA  ,Salvi-Lala,1
7355,voLuptAtuM ,oFficE  ,bEd,Lad Inc,1
1685,DoLoruM   ,kITChen  ,ChAIR,Choudhary-Thaker,1
7712,RatIoNe ,office,Dusk,Mishra LLC,0
1754,eNIm  ,HjMe  ,SOfA  ,Biswas-Mahajan,N
2560,vEliT   ,kiTcHEn ,bED ,Bali-Kant,
6769,NosTRuM   ,oUTdoor ,sOfA   ,Peri and Sons,
2924,LabORUM  ,hOme,Chair  ,Sama PLC,N
9097,NOStRuM,OuTDooR,BED,Peri-Upadhyay,
1341,QUaS  ,offIcE  ,tABLE,Chauhan-Reddy,N
6061,iN   ,HoMe  ,LamP ,Naik LLC,0
3614,MagNi   ,OutdOor   ,cHAIR  ,Sharaf PLC,1
4701,rEM ,oUtdoOR   ,sofA   ,"Shetty, Bhasin and Sahni",
3851,VOlUptAteS,kiTchen  ,ChAiR  ,Sant-Bail,
8464,DuciMuS,OfFIce,SOFA  ,Bala LLC,
8506,IN   ,OFfiCe ,dEsk,Borah-Chaudhry,1
5224,vEnIAM   ,HomE   ,soFa ,"Bera, Gill and Goswami",
5618,fugIT ,Hlme   ,ChaiR ,Shetty-Mahal,0
1374,voLUPTATEm   ,OuTdOOR   ,BeD,"Sule, Sachdeva and Grover",1
9090,DOloRiBus   ,OUTDoOR   ,ChaIR  ,Issac LLC,
7742,iisA   ,OFFicE   ,bEd,Vala Ltd,N
4863,REiCIeNDIs ,hfme,Bed  ,"Dugar, Singhal and Mahajan",
3972,dbstINcTIO   ,homE   ,tabLE ,Sinha Ltd,
6945,commodI,oUtdoOr   ,sOfA ,Badal-Kanda,
2001,teMpOrA ,OffICe  ,CHAir   ,"Borde, Bumb and Mane",0
9808,IPsUM ,offiCe   ,chAir,Gara-Kapur,
9106,nOStrUm ,kitChen  ,cHAir ,Saha-Murty,
7618,eA   ,ofFIcE,lAmP  ,"Baria, Suresh and Garg",1
4856,DoLOrEs,hOME ,lAMp,"Sharma, Aurora and Acharya",Y
2005,PlaCeat,OFFiCe ,CHAiR  ,Modi and Sons,N
3902,a,OFfiCe ,Sofa  ,Mital LLC,
3130,quIDEM  ,KITCheN  ,sOFa ,"Subramaniam, Gulati and Batta",Y
9990,poRRO,OfFiCE ,SOfa  ,Varghese-Buch,1
8160,DiGniSsIMOS ,ouTDOoR,DfSk  ,Dugal-Raja,N
2514,asPeriorES   ,HoME   ,TAbLe,Vaidya-Raj,0
7069,nam   ,OutDOoR  ,lAmp   ,De-Suri,
2224,QuAm,OUTdoOr,LaMP ,"Garde, Baria and Palla",
1858,Ad  ,ouTDOOR ,Chair,Dayal-Sundaram,N
1339,rEM,outDOOr ,desk  ,Murthy Group,
5561,hiC ,hzME   ,CHAir  ,"Thaker, Bhatti and Chander",1
4045,NeQUE ,oFFIce  ,ChAir  ,Dutt Group,N
9353,A  ,Home  ,BeD  ,Viswanathan-Konda,0
9767,nostRum,oFfiCE  ,desK   ,Bala PLC,1
4516,NAM  ,OFFICe ,desK   ,Dash Inc,1
4747,NoN   ,OUTDooR ,tAbLE,"Dhillon, Deep and Devan",1
7811,nrTuS  ,OutdOoR   ,dkSk ,"Dixit, Mallick and Hayer",
8312,dolorES,oFfICe ,LAMp   ,Shah-Arya,
4966,EX  ,hOmE   ,tAbLe ,Kannan LLC,
1097,mAIores,HjMe,SOFA ,"Samra, Gour and Narasimhan",0
3358,ISTE ,HomE ,SoFa  ,Halder Group,0
2930,cfRrUpTI   ,KItchEN  ,SofA  ,"Venkatesh, Suri and Rattan",
2701,mINus,octdoOr  ,TABLE  ,Chakraborty and Sons,
6266,OptiO,OutdoOR,cHAir  ,Kulkarni Group,0
8434,eOs,home,lAmP  ,"Brar, Kadakia and Dhawan",Y
3780,DOloribUS,OUtDOor,SoFA ,"Bhatnagar, Tara and Kata",Y
6845,ESt,KitCHEn   ,tAbLe ,Palan-Butala,0
3856,aT ,oFFIce  ,TrbLe   ,"Kumar, Sen and Sinha",Y
8171,exCepTURI  ,OFFIcE,sOfA   ,"Mody, Nadkarni and Baral",
4672,molEstIae ,OfFicE   ,SOfa ,Ramaswamy-Salvi,
1847,noN   ,HoME   ,chaiR ,Raghavan-Bhagat,1
2546,DhLoRe   ,HOme  ,tABlE  ,Dass Inc,0
2042,VulUPtATibuS,OFFice ,chAir   ,"Basak, Sami and Date",Y
9468,peRfERenDIS  ,oUTdoor  ,soFA   ,Bhatia and Sons,0
7448,DEbITIS ,kitCHen  ,Sofa  ,"Varkey, Comar and Wadhwa",Y
9142,qUASI,kITcheN,laMP ,"Sethi, Lad and Parekh",0
3691,MODI   ,HOME   ,TabLE   ,Chana-Bawa,
2997,volupTaTeM  ,oUTdOor,LAmP  ,"Doshi, Kunda and Som",0
2989,EXPLiCAbO  ,oUtdOOr,sOFa ,Hegde-Tank,
5675,QuOD,oUtdooR ,TablE ,"Kumar, Sinha and Bera",N
8850,ALiQUiD   ,oUTdoOr  ,chair,"Radhakrishnan, Manda and Sunder",
5136,ID   ,kITCHEN   ,LaMp,Dhar Ltd,Y
7176,NumQUAM  ,OuTdOOr,taBLE ,Grover-Narayan,Y
8914,OdiT ,oUtdoor   ,DEsK   ,Borde PLC,
6808,molEStiAs ,oFFicE ,LAmP,"Sarna, Kale and Nagarajan",
2757,AB  ,ontdOOR ,LAmP,"Kade, Rege and Memon",
2904,TEMPoribus  ,ouTdOoR  ,desk,Dash PLC,
9067,dgCImus  ,home   ,dqSk   ,"Nair, Gole and Kaur",
9682,qUoD ,kItCHEn ,SofA   ,Varghese PLC,
3724,SOLUta,oUTDoOr   ,TuBle,Nanda and Sons,1
9297,essE  ,OUtDOor ,sOfa   ,Bhat-Rajagopal,
5910,ProViDEnT,hoME ,bED ,Babu Ltd,
2173,MAgnI ,homE,DesK  ,"Edwin, Pradhan and Choudhry",
7591,dolore ,OuTdOoR,CHAir  ,Narayan-Chaudhari,N
1352,nOstruM,hOmE ,Desk,Deshmukh-Cherian,
3528,vOLuPTaTibuS ,ofFIce,BED  ,Mahal-Desai,
3869,ENIM,Home  ,tabLE  ,"Bath, Date and Gade",0
5728,rEPREHeNDeRiT ,KItcHeN   ,BED   ,Chand-Rana,Y
4319,isSTO  ,HOme ,soFa  ,"Raghavan, Dar and Ahluwalia",N
2403,In   ,ObFIce ,LamP   ,"Sekhon, Ratti and Kapur",1
7927,Quia  ,KItchen   ,LaMp  ,"Deo, Rai and Mukhopadhyay",1
1338,IxsAm   ,oUtDoor  ,ChAir   ,Luthra Inc,
7128,maXimE  ,HOmE   ,Sofa   ,Peri-Bala,1
8444,RepellAt,OfFice ,bEd   ,Venkatesh-Singh,0
5736,cOnSeQuuNTUr   ,oUtDOoR   ,TbbLE,"Gade, Golla and Dugal",
8715,iMpeDiT  ,kItCHEn ,tABle   ,"Jain, De and Chaudhuri",
5213,lABoRE  ,kitCHEn ,tablE ,"Kapoor, Varughese and Sane",Y
4421,LAboRiOsAM ,kitcHeN   ,bED  ,"Kalita, Mani and Vala",N
8684,nUllA,offIce ,SofA   ,Chad-Sarraf,1
4359,NIhIl ,oUtdooR,dESk ,"Patel, Behl and Gala",Y
3737,AspErNATuR ,OFFIce ,SjFa  ,Walia and Sons,1
4572,neMO,ObFicE ,Bed  ,Acharya Inc,Y
2228,incIdunT  ,OfFICe  ,DEsK   ,Wason Ltd,0
2273,doLoRiBUs ,OutDOor  ,table   ,Lad-Gara,Y
4730,MoDI  ,hoMe  ,lAMP,Taneja Inc,1
2439,AreRiam   ,OffiCE  ,BeD ,Ranganathan PLC,
3434,MwGnam ,OFficE,ChaiR,Badal-Mitter,
5464,DolOreMqUE,OFFicE ,BEd,Edwin-Comar,Y
1665,IN   ,ofFIcE   ,beD ,"Tandon, Bhakta and Patla",Y
6294,dolORum   ,OUtDOoR   ,cHAiR ,Loyal-Sheth,N
7495,NOn  ,Hlme ,bED,Sarkar-Sangha,N
6721,asPErioRES   ,kuTCHEn ,sOfa  ,"Chacko, Kala and Saran",Y
1007,ALIQUAM ,KITcHeN  ,sofa,Gala Group,
7912,nECessitAtiBuS  ,hoME ,Desk  ,"Misra, Madan and Hegde",1
9905,AsPErNatUR   ,hoME,dEsk,Subramaniam PLC,N
2782,VERO ,ofFice,SqFA   ,"Arya, Narang and Kapur",0
7119,sjqui   ,kiTChen   ,bed  ,"Mani, Bora and Bath",
5521,magnaM   ,oFFIcE ,dESK ,Aggarwal-Venkatesh,
7879,auT  ,Home ,lamP ,Raghavan-Mahajan,N
2733,AdIPisCi  ,homE   ,desk ,Mane-Golla,Y
9961,imPEDIT   ,hoMe  ,cHair ,Raja-Golla,Y
4316,quiSquAm  ,OutDOOr  ,cHair   ,"Banik, Chakraborty and Dey",1
9706,tENeTur,hOme,LaMp,Dara Ltd,
1416,dOloRibUS   ,OFFICE,Lamp ,Verma Ltd,N
6128,dOLoRes   ,HOME  ,bED  ,Subramanian-Chacko,0
7647,NubIs,KitChen ,CHair  ,Gour PLC,
6892,EnIm ,kjtChEn  ,tAblE ,"Acharya, Oza and Bal",N
5128,buANdiTIIS   ,Home,table ,Saini-Sangha,0
9202,SUscIpIT ,kitChEN   ,BEd,Bandi and Sons,
8134,et ,KitCHEN,LAmP  ,Hans-Muni,N
8944,BeatAE   ,hOMe ,sOfA   ,"Babu, Prabhu and Chadha",
2626,AsSUmENDa,homE,lamp ,"Kunda, Halder and Parekh",N
8720,SIT  ,KITCHen   ,sOfa ,"Nadkarni, Goda and Bumb",
2226,vOlUptaTe,hOmE ,LaMp ,Ramesh LLC,Y
7145,AsPErnATUR  ,KiTcHeN,soFa  ,"Bhatt, Ramaswamy and Kar",N
1559,IuRE,kitChEn  ,tABlE ,"Venkataraman, Samra and Kunda",0
1360,velIT   ,OffiCE   ,CqAiR,Sachdeva LLC,0
9020,COnSeQuAtUr   ,OUtdOoR   ,LAmp  ,Khatri PLC,N
7011,IPsAM ,oUtdOOR  ,Desk,"Nagi, Borde and Kibe",Y
1735,vEL ,hOme ,bED,Bawa-Panchal,0
5442,oDiO,OuTDooR  ,scFa,Varghese Group,0
6938,seQui,OffIcE,taBle   ,Yadav Inc,
4311,dOLorES ,hOME,TaBlE  ,Lanka-Seth,
4297,veNIam   ,kiTcHeN   ,bEd  ,"Narang, Sheth and Anand",N
1177,EXPEdiTa  ,KITCHeN  ,DeSk   ,Halder Inc,Y
4439,REPeLlenDUS  ,OUTDooR  ,ChAIR  ,Thaman-Shanker,N
4667,asPeRIOReS,OjfiCE,SoFA  ,Kala and Sons,
4779,BEatAe ,kqtchen,SOFa,Datta-Bath,1
3104,aPeriAM  ,OUtdoor  ,DeSK   ,"Luthra, Chandran and Nigam",1
4358,DOlOrum ,OfficE ,lamp ,Upadhyay-Choudhry,
1678,SUnt   ,OffICe ,lAMp  ,Karan-Sem,
2554,iTAQuE  ,KITChEN  ,table,"Nayak, Vohra and Raj",
2139,COnseQUAtuR ,KITcHeN ,cnAir,"Parmer, Buch and Kapoor",
6231,VrtaE  ,HOmE   ,Desk  ,Gaba-Goswami,0
9055,teneTUR,OFfiCE,tabLE,Dhar Ltd,
1940,qUIDem,KmTcHEN  ,TaBlE,Yadav PLC,
8762,TemPOre  ,HOmE,table  ,"Solanki, Kohli and Sagar",0
2934,rePelLaT   ,Home  ,BEd ,Ghose Inc,Y
6180,ET  ,oUtdooR ,BeD ,Maharaj Inc,0
8650,faCILIs,ofFICe  ,TAble,"Sekhon, Saran and Desai",
7827,CONSeCTEtur,HOmE   ,sOFa ,Aurora and Sons,1
7338,eLIGEnDi,hOme  ,SofA   ,Chadha Ltd,
7065,IUSto ,kItCHen,CHaIr,"Mutti, Bhalla and Subramaniam",
9885,QuAE  ,oUTdOOr,LAMp  ,Pall-Lata,Y
4835,COnsECtetur   ,hoME ,cHaIR   ,"Bumb, Nayak and Sethi",
4543,oPTIo,OuTDOOr   ,Lamp,Mammen Ltd,0
8212,REpellaT   ,offiCe  ,Bed  ,Barad-Manne,
7300,SImiliqUe   ,HOME,TABle  ,Chokshi-Ratti,N
3155,isTe   ,OhtdoOr,BEd   ,"Savant, Deshpande and Sarraf",
7209,volUPtate ,OFFice   ,Lamp   ,Krishna-Tara,1
1832,IuRE  ,KiTCHeN,sOfA,Sawhney-Borra,N
7770,niSi   ,oFfiCe   ,tAble  ,Baria-Bava,1
9672,OffiCIIS  ,OUtdoOR ,LamP  ,Bhatti-Dutt,
1129,fUgiat   ,Odfice ,TaBLE   ,Khanna LLC,N
7470,QuO,oUtdOOr ,SOFA ,Swamy LLC,
2283,REpeLLAt ,OFFiCE   ,chAiR ,Bahl LLC,1
2984,olFIciA   ,ouTDooR  ,Coair ,Banerjee-Om,N
7108,dESerunT   ,OffIcE ,cHair ,Sundaram PLC,
7888,et,oUtdoor ,laMP   ,Gola and Sons,
8194,cUmQuE ,OFFICE,TABle  ,Panchal LLC,N
7336,rEiciEndIs,Home   ,BED   ,"Chacko, Nadig and Sodhi",
9880,CONsECTEtur   ,hOME   ,dEsK,Nagar-Tella,
4769,Et   ,KItcHEN  ,sOFa   ,Bir-Samra,
