product_key,product_id,product_name,category,sub_category,supplier_name,defect_flag
99,1098,Repellat,Outdoor,Bed,"Bhandari, Gokhale And Zachariah",No
100,1099,Harum,Outdoor,Lamp,Chatterjee Inc,No
101,1100,Camque,Outdoor,Table,"Varkey, Sekhon And Dixit",Yes
102,1101,Cupiditate,Unknown,Sofa,"Mody, Pandey And Lata",Yes
103,1102,Non,Office,Sofa,Bal Plc,No
104,1103,Saepe,Unknown,Table,Nazareth Inc,Yes
105,1104,Enim,Kitchen,Bed,Thaman Chada,Unknown
106,1105,Quas,Kitchen,Table,Krishnamurthy Inc,Unknown
107,1106,Officia,Kitchen,Table,Ratta Plc,Unknown
108,1107,Error,Kitchen,Table,Saran Boase,Unknown
109,1108,Sint,Outdoor,Sofa,Sachdev Khurana,Unknown
110,1109,Quibusdam,Outdoor,Chair,Dhillon Kapadia,Unknown
111,1110,Harum,Outdoor,Chair,Rattan Plc,No
112,1111,Possimus,Kitchen,Unknown,Prashad Nagar,Unknown
113,1112,Iglum,Home,Bed,Mani Parmar,Yes
114,1113,Architecto,Kitchen,Table,Dixit Apte,Yes
115,1114,Cbrrupti,Outdoor,Bed,"Thaman, Shetty And Dayal",No
116,1115,Ehm,Office,Bed,"Pradhan, Goda And Chaudhary",Unknown
117,1116,Ut,Outdoor,Table,"Raja, Varty And Loyal",Yes
118,1117,Iure,Outdoor,Sofa,"Varghese, Shankar And Deo",Yes
119,1118,Ipsam,Home,Table,Behl Group,Unknown
120,1119,Saepe,Unknown,Chair,Chandra Chadha,Unknown
121,1120,Consectetur,Home,Chair,"Golla, Raghavan And Chada",Unknown
122,1121,Id,Outdoor,Bed,Swaminathan Ltd,Yes
123,1122,Architecto,Home,Bed,Khare Plc,No
124,1123,Sapiente,Kitchen,Sofa,Mangal Bhandari,Yes
125,1124,Placeat,Outdoor,Chair,Bhandari Dara,No
126,1125,Neque,Office,Table,Talwar Mukhopadhyay,Unknown
127,1126,Ndhil,Unknown,Desk,Rama Walia,No
128,1127,Ipsum,Kitchen,Unknown,Cheema Goswami,Yes
129,1128,Dignissimos,Home,Chair,Kade Plc,Yes
130,1129,Fugiat,Unknown,Table,Khanna Llc,No
131,1130,Quasi,Unknown,Sofa,Karnik Inc,Unknown
132,1131,Veniam,Home,Chair,"Bail, Sunder And Nadkarni",Unknown
133,1132,Ac,Kitchen,Chair,Wagle Llc,No
134,1133,Non,Kitchen,Table,Deep Dave,Unknown
135,1134,Eum,Kitchen,Chair,"Sen, Mukherjee And Nazareth",No
136,1135,Aoque,Kitchen,Bed,Mahal Sawhney,No
137,1136,Suscipit,Office,Lamp,Kannan Zachariah,Unknown
138,1137,Adipisci,Kitchen,Lamp,Aggarwal Pai,Yes
139,1138,Oyficia,Office,Lamp,Vala Llc,No
140,1139,Harum,Outdoor,Bed,Bakshi Llc,Unknown
141,1140,Quia,Kitchen,Desk,Pathak Inc,Yes
142,1141,Quae,Home,Sofa,"Mishra, Borde And Chauhan",No
143,1142,Enim,Home,Table,Garg Inc,Yes
144,1143,Aet,Outdoor,Table,Suri Plc,Yes
145,1144,Laudantium,Kitchen,Bed,Nadkarni Chander,Unknown
146,1145,Et,Office,Chair,"Radhakrishnan, Mallick And Kumar",Unknown
147,1146,Reiciendis,Home,Table,Sane Nagarajan,Yes
148,1147,Natus,Outdoor,Desk,"Ahluwalia, Nair And Basu",Unknown
149,1148,Recusandae,Office,Desk,"Chana, Bir And Barad",Yes
150,1149,Maxime,Kitchen,Bed,Sarkar Group,No
151,1150,Atque,Kitchen,Sofa,Deep Jaggi,Yes
152,1151,Quidem,Outdoor,Sofa,Roy Vig,No
153,1152,Laborum,Outdoor,Chair,D’Alia Inc,No
154,1153,Sit,Kitchen,Desk,Dani Inc,Yes
155,1154,Eum,Home,Table,Loyal Inc,No
156,1155,Debitis,Home,Bed,Hayre Munshi,Unknown
157,1156,Dolore,Kitchen,Lamp,Mitra Prabhu,Unknown
158,1157,Avt,Kitchen,Table,Parmar Group,Yes
159,1158,Hcrum,Home,Table,"Narayan, Om And Oak",Unknown
160,1159,Dolorem,Kitchen,Unknown,Hegde Contractor,Unknown
161,1160,Consectetur,Unknown,Lamp,Bhatia Chaudhuri,Yes
162,1161,Debitis,Kitchen,Sofa,Wali Plc,No
163,1162,Molestiae,Office,Bed,"Mall, Chaudry And Thaman",Yes
164,1163,Reiciendis,Home,Bed,"Wason, Baral And Purohit",Unknown
165,1164,Nobis,Unknown,Bed,"Saran, Thakkar And Padmanabhan",Yes
166,1165,Similique,Home,Sofa,"Chadha, More And Dash",No
167,1166,Cumque,Office,Desk,Mital Llc,No
168,1167,Pariatur,Outdoor,Bed,Bose Raman,Yes
169,1168,Dolorum,Kitchen,Unknown,Dayal Amble,No
170,1169,Reiciendis,Home,Desk,"Ratta, Nigam And Sane",Yes
171,1170,Mollitia,Home,Desk,Thakkar Inc,Yes
172,1171,Non,Kitchen,Unknown,Kothari And Sons,Unknown
173,1172,Soluta,Office,Table,"Tandon, Mishra And Magar",Unknown
174,1173,Esse,Home,Desk,"Dutt, Mangal And Memon",No
175,1174,Voluptatum,Home,Bed,Arora Balasubramanian,Yes
176,1175,Mollitia,Home,Table,Bhakta Inc,Unknown
177,1176,Enim,Outdoor,Chair,"Bhardwaj, Saini And Bakshi",Yes
178,1177,Expedita,Kitchen,Desk,Halder Inc,Yes
179,1178,Voluptatum,Office,Bed,"Mani, Bhakta And Korpal",Unknown
180,1179,Eaque,Kitchen,Sofa,"Tak, Gandhi And Kakar",Yes
181,1180,Voluptatem,Outdoor,Table,Seshadri Llc,Yes
182,1181,Excepturi,Kitchen,Desk,Yadav Raju,Unknown
183,1182,Ratione,Outdoor,Lamp,Thakur Arya,Yes
184,1183,Vero,Outdoor,Unknown,Barad Ratti,Yes
185,1184,Debitis,Outdoor,Lamp,Konda Ray,No
186,1185,Modi,Home,Unknown,Toor Pillai,Yes
187,1186,Quas,Home,Desk,Goda Nazareth,Yes
188,1187,Ut,Office,Sofa,Krish And Sons,Yes
189,1188,Aperiam,Home,Sofa,"Bansal, Narang And Trivedi",Unknown
190,1189,Quam,Unknown,Sofa,"Morar, Sandhu And Sheth",Unknown
191,1190,Quibusdam,Unknown,Sofa,Modi Group,Yes
192,1191,Aliquam,Unknown,Bed,Lal Toor,Unknown
193,1192,Hic,Outdoor,Unknown,Jaggi Ltd,Yes
194,1193,Fugiat,Home,Lamp,"Gopal, Krishnan And Bora",Unknown
195,1194,Quia,Office,Table,Wali Oommen,No
196,1195,Minus,Outdoor,Table,"Peri, Suresh And Rastogi",Yes
197,1196,Laborum,Outdoor,Chair,Bera Llc,Yes
198,1197,Sequi,Unknown,Sofa,Keer Llc,No
199,1198,Molestias,Home,Lamp,Bawa Agrawal,Unknown
200,1199,Delectus,Outdoor,Desk,"Natarajan, Chopra And Madan",No
201,1200,Mollitia,Outdoor,Chair,Choudhury Jani,No
202,1201,Animi,Unknown,Desk,Bhatti Mutti,Unknown
203,1202,Debitis,Kitchen,Unknown,"Pathak, Mannan And Mane",Yes
204,1203,Ap,Kitchen,Lamp,Viswanathan Plc,Unknown
205,1204,Numquam,Office,Table,Madan Llc,Yes
206,1205,Neque,Unknown,Unknown,Goyal Pingle,Unknown
207,1206,Aperiam,Outdoor,Desk,"Doctor, Bali And Kota",No
208,1207,Corporis,Home,Table,Barad Hayre,No
209,1208,Atque,Kitchen,Table,"Pant, Ramanathan And Mohan",Yes
210,1209,Qhas,Outdoor,Chair,"Walia, Karnik And Narain",No
211,1210,Maxime,Unknown,Lamp,"Agrawal, Rana And Kapur",No
212,1211,Nam,Unknown,Desk,Hegde Inc,Yes
213,1212,Voluptas,Home,Bed,Ganguly Group,No
214,1213,Adipisci,Unknown,Table,"Tiwari, Deol And Gokhale",No
215,1214,Iste,Outdoor,Table,"Mann, Sahni And Purohit",Unknown
216,1215,Accusantium,Home,Bed,"Hora, Jain And Bali",Yes
217,1216,Nesciunt,Office,Lamp,"Parsa, Chatterjee And Sahota",Yes
218,1217,Perspiciatis,Kitchen,Unknown,Ahluwalia Bal,No
219,1218,Voluptates,Office,Desk,"Kala, Sarna And Mital",Yes
220,1219,Fdcere,Unknown,Chair,Krishnan Ltd,No
221,1220,Aut,Outdoor,Sofa,"Shan, Ratta And Shankar",Yes
222,1221,Maiores,Office,Desk,Mann Swamy,Yes
223,1222,Luboriosam,Office,Desk,Ben And Sons,Yes
224,1223,Ab,Home,Sofa,Bumb Kibe,Unknown
225,1224,Vitae,Outdoor,Lamp,Wali Plc,Yes
226,1225,Cum,Outdoor,Unknown,Chanda Sem,Unknown
227,1226,Quibusdam,Office,Chair,Chokshi Mani,Unknown
228,1227,Maiores,Office,Bed,Chand Varma,Yes
229,1228,Soluta,Office,Desk,Sidhu Plc,Yes
230,1229,Cupiditate,Office,Unknown,"Rai, Doctor And Wadhwa",No
231,1230,Consequatur,Office,Bed,"Ramanathan, Gour And Golla",No
232,1231,Ad,Office,Desk,Chander And Sons,Yes
233,1232,Non,Home,Chair,Ben Group,Unknown
234,1233,Corrupti,Office,Sofa,Gandhi And Sons,Unknown
235,1234,Odio,Unknown,Bed,Ramakrishnan Ghosh,Unknown
236,1235,A,Outdoor,Sofa,Tank Inc,Yes
237,1236,Harum,Office,Bed,Yadav Karan,Yes
238,1237,Excepturi,Kitchen,Bed,"Natt, Thaker And Prashad",No
239,1238,Saepe,Outdoor,Lamp,"Chowdhury, Bhattacharyya And Bedi",Yes
240,1239,Repellat,Office,Sofa,Keer Kadakia,Yes
241,1240,Aperiam,Kitchen,Lamp,Chana Doctor,Yes
242,1241,Quod,Outdoor,Lamp,"Parsa, Johal And Bhardwaj",Unknown
243,1242,Sint,Home,Lamp,Karnik Llc,No
244,1243,Recusandae,Home,Chair,Bala Mammen,Unknown
245,1244,Minima,Kitchen,Sofa,Datta Inc,Yes
246,1245,Minus,Office,Sofa,Walla Pandya,No
247,1246,Amet,Kitchen,Desk,"Char, Gour And Khalsa",Unknown
248,1247,Laudantium,Office,Bed,Saha Kakar,Yes
249,1248,Ajiquid,Home,Lamp,Mallick Plc,No
250,1249,Quidem,Outdoor,Sofa,"Prabhu, Bhakta And Som",Unknown
251,1250,Architecto,Outdoor,Table,"Shankar, Sahota And Sarna",Yes
252,1251,Voluptas,Kitchen,Chair,"Contractor, Om And Viswanathan",Yes
253,1252,Ullam,Kitchen,Bed,Gandhi Inc,Yes
254,1253,Reiciendis,Office,Chair,Rajan Group,Yes
255,1254,Ullam,Unknown,Sofa,Dani Ltd,No
256,1255,Libero,Home,Bed,Palla Banerjee,Unknown
257,1256,Commodi,Home,Table,"Iyengar, Sibal And Pillai",Yes
258,1257,Beatae,Outdoor,Unknown,Pau Chaudhuri,No
259,1258,Doloribus,Outdoor,Bed,Buch Group,Yes
260,1259,Cqnsequatur,Kitchen,Unknown,Chaudry Inc,No
261,1260,Eise,Kitchen,Unknown,Saini Plc,Unknown
262,1261,Pariatur,Home,Sofa,"Balakrishnan, Kala And Jani",Unknown
263,1262,Quidem,Kitchen,Table,Goyal And Sons,Yes
264,1263,Ad,Home,Table,Parmer Sarkar,No
265,1264,Nobis,Home,Desk,Ramaswamy Ltd,Unknown
266,1265,Eligendi,Office,Lamp,"Bala, Apte And Halder",No
267,1266,Architecto,Outdoor,Table,Gill And Sons,No
268,1267,Assumenda,Outdoor,Table,"Raju, Dhingra And Sabharwal",No
269,1268,Cumque,Kitchen,Chair,"Sidhu, Bhalla And Bal",No
270,1269,Itaque,Outdoor,Table,Chahal Lalla,Yes
271,1270,Ex,Office,Unknown,"Kalla, Talwar And Sharaf",No
272,1271,Magni,Kitchen,Unknown,"Kara, Yogi And Pal",No
273,1272,Minus,Kitchen,Chair,Khatri Memon,Unknown
274,1273,Nwm,Kitchen,Desk,Menon Zachariah,Unknown
275,1274,Qpis,Office,Table,Mitter Group,Yes
276,1275,Et,Kitchen,Bed,Basu Ltd,Unknown
277,1276,Assumenda,Unknown,Bed,Vig Inc,Unknown
278,1277,Adipisci,Office,Desk,Chadha Oommen,Unknown
279,1278,Occaecati,Unknown,Table,Gole Plc,Unknown
280,1279,Fugit,Outdoor,Table,"Jha, Nagy And Suri",Unknown
281,1280,Labore,Home,Lamp,Saxena Pingle,Unknown
282,1281,Possimus,Outdoor,Desk,Kaur Lalla,Unknown
283,1282,Dicta,Office,Lamp,Venkataraman And Sons,Unknown
284,1283,Assumenda,Unknown,Desk,Setty Bhagat,Yes
285,1284,Esse,Kitchen,Table,"Baria, Vig And Patla",No
286,1285,Impedit,Kitchen,Sofa,Deshmukh Llc,No
287,1286,Dolorem,Unknown,Sofa,"Grover, Chaudhry And Sanghvi",No
288,1287,Ipsam,Outdoor,Lamp,Pillai Misra,No
289,1288,Corporis,Kitchen,Table,Sekhon Zachariah,Unknown
290,1289,Aut,Outdoor,Table,Shroff Iyengar,Unknown
291,1290,Libero,Kitchen,Lamp,Dhawan Group,No
292,1291,Corporis,Kitchen,Bed,Viswanathan Ltd,Yes
293,1292,Voluptate,Kitchen,Chair,Wable Ben,No
294,1293,Sit,Unknown,Sofa,Sani Setty,Yes
295,1294,Non,Kitchen,Desk,Nazareth Tiwari,No
296,1295,Quam,Home,Chair,Luthra Mani,Yes
297,1296,Distinctio,Office,Chair,"Chaudhry, Jhaveri And Jayaraman",Yes
298,1297,Voluptate,Outdoor,Lamp,Kakar Kalita,Unknown
299,1298,Vitae,Kitchen,Table,Dasgupta Om,Yes
300,1299,Cupiditate,Kitchen,Lamp,Sani And Sons,Yes
301,1300,At,Home,Desk,Sampath Ray,Unknown
302,1301,Voluptate,Home,Sofa,Chokshi Sarma,No
303,1302,Minima,Outdoor,Unknown,"Pillay, Chaudhary And Aggarwal",Unknown
304,1303,Aliquam,Home,Sofa,Bir Ltd,No
305,1304,Vel,Outdoor,Bed,"Shah, Pandya And Reddy",Unknown
306,1305,Debitis,Outdoor,Sofa,Pau Ltd,No
307,1306,Sed,Home,Bed,"Dewan, Hayer And Sandhu",Yes
308,1307,Saepe,Office,Lamp,Gaba Plc,No
309,1308,Error,Kitchen,Desk,Gole Lanka,Yes
310,1309,A,Unknown,Bed,Ratti Prabhakar,Yes
311,1310,Laboriosam,Office,Desk,Narayan Chopra,Unknown
312,1311,Hic,Office,Sofa,Palla Garg,No
313,1312,Vitae,Office,Sofa,Murty Ltd,Unknown
314,1313,Assumenda,Outdoor,Lamp,Munshi Ltd,Unknown
315,1314,Voluptatem,Outdoor,Chair,"Trivedi, Sant And Samra",No
316,1315,Rciciendis,Home,Desk,"Bahl, Pradhan And Shankar",Unknown
317,1316,Magnam,Unknown,Table,Bhavsar Ltd,Yes
318,1317,Sequi,Outdoor,Table,Dube Bhattacharyya,Unknown
319,1318,Hic,Office,Unknown,Dua Raval,No
320,1319,Est,Unknown,Table,Issac Plc,Yes
321,1320,Msgni,Kitchen,Chair,Chanda Llc,Yes
322,1321,Quia,Kitchen,Bed,Nazareth Behl,No
323,1322,Non,Kitchen,Table,"Jaggi, Gaba And Kanda",Yes
324,1323,Excepturi,Office,Sofa,Gole Chokshi,Yes
325,1324,Labore,Unknown,Lamp,"Kala, Char And Chandra",Unknown
326,1325,Saepe,Outdoor,Chair,Wadhwa Gill,No
327,1326,Quam,Office,Chair,Khatri Llc,Yes
328,1327,Animi,Kitchen,Lamp,"Tata, Srinivasan And Subramanian",Yes
329,1328,Fuga,Office,Lamp,Seshadri Llc,No
330,1329,Maiores,Kitchen,Table,"Ramanathan, Deep And Badami",Unknown
331,1330,Blanditiis,Home,Desk,"Chada, Dhar And Sha",Unknown
332,1331,Ratione,Office,Table,"Wali, Nigam And Kulkarni",Yes
333,1332,Corrupti,Office,Sofa,"Pandya, Mahajan And Shenoy",No
334,1333,Laborum,Unknown,Sofa,"Chawla, Korpal And Singhal",Yes
335,1334,Eius,Outdoor,Table,Bobal Biswas,Unknown
336,1335,Corporis,Outdoor,Chair,Hora And Sons,Yes
337,1336,Error,Outdoor,Chair,Sampath Mammen,Yes
338,1337,Quo,Home,Sofa,Joshi Plc,Yes
339,1338,Ixsam,Outdoor,Chair,Luthra Inc,Unknown
340,1339,Rem,Outdoor,Desk,Murthy Group,Unknown
341,1340,Sit,Office,Unknown,Cherian And Sons,Unknown
342,1341,Quas,Office,Table,Chauhan Reddy,No
343,1342,Inventore,Home,Bed,Srinivasan Inc,Unknown
344,1343,Mollitia,Outdoor,Unknown,Ratta Behl,No
345,1344,Accusamus,Office,Table,Chaudhary Inc,No
346,1345,Quaerat,Home,Bed,Palla Hari,Yes
347,1346,Dolorum,Kitchen,Desk,Manne Ltd,No
348,1347,Vel,Kitchen,Lamp,Sibal Inc,Yes
349,1348,Ut,Outdoor,Bed,"Roy, Johal And Kara",No
350,1349,Id,Office,Desk,Rajan Ltd,Yes
351,1350,A,Home,Sofa,Misra Wali,No
352,1351,Voluptatibus,Unknown,Sofa,"Dubey, Prabhakar And Nazareth",No
353,1352,Nostrum,Home,Desk,Deshmukh Cherian,Unknown
354,1353,Nobis,Office,Desk,Halder Inc,Unknown
355,1354,Cum,Office,Bed,Shetty Uppal,No
356,1355,Quia,Office,Sofa,Luthra Pillay,No
357,1356,Delectus,Office,Chair,Purohit Kota,No
358,1357,Dolorem,Outdoor,Lamp,Warrior And Sons,No
359,1358,Optio,Kitchen,Unknown,Goda Apte,No
360,1359,Maxime,Outdoor,Sofa,Rastogi Llc,No
361,1360,Velit,Office,Unknown,Sachdeva Llc,No
362,1361,Sint,Outdoor,Sofa,Chaudhry And Sons,Unknown
363,1362,Clrporis,Office,Chair,Tella Andra,No
364,1363,Ipsam,Outdoor,Sofa,Gara And Sons,Yes
365,1364,Nulla,Outdoor,Unknown,"Bhargava, Sant And Prakash",No
366,1365,Atque,Office,Bed,Parikh And Sons,Yes
367,1366,Officiis,Office,Table,Sachdev Karnik,No
368,1367,In,Office,Table,Srinivas Golla,Unknown
369,1368,Nobis,Unknown,Table,"Majumdar, Amble And Sampath",No
370,1369,Exercitationem,Home,Bed,Chadha Panchal,Unknown
371,1370,Deleniti,Outdoor,Chair,Chawla Ltd,No
372,1371,Ea,Outdoor,Lamp,Upadhyay Master,Yes
373,1372,Dvcta,Outdoor,Lamp,Ganesh Nagarajan,No
374,1373,Ut,Kitchen,Desk,Lal Group,Yes
375,1374,Voluptatem,Outdoor,Bed,"Sule, Sachdeva And Grover",Yes
376,1375,Optio,Kitchen,Desk,Bora Jayaraman,Unknown
377,1376,Fugiat,Kitchen,Unknown,"Vaidya, Srinivas And Sridhar",No
378,1377,Eum,Unknown,Unknown,Soni Ltd,No
379,1378,Hic,Office,Chair,Ghose Group,No
380,1379,Possimus,Office,Lamp,"Sengupta, Ganesh And Naidu",No
381,1380,Temporibus,Kitchen,Bed,"Nadkarni, Palla And Sabharwal",No
382,1381,Et,Home,Table,Chaudhuri Nadig,Unknown
383,1382,Quis,Outdoor,Lamp,Halder Llc,Yes
384,1383,A,Outdoor,Table,"Khosla, Loyal And Mohanty",Unknown
385,1384,Possimus,Home,Table,"Suresh, Char And Sandhu",Unknown
386,1385,Ratione,Kitchen,Desk,Srivastava Chaudry,Unknown
387,1386,Vvluptatum,Kitchen,Desk,"Grewal, Rana And Savant",No
388,1387,Fugit,Kitchen,Chair,Radhakrishnan Llc,Yes
389,1388,Accusantium,Office,Table,Verma Sodhi,No
390,1389,Praesentium,Outdoor,Sofa,"Wason, Kanda And Amble",Unknown
391,1390,Dgbitis,Unknown,Lamp,Din Llc,No
392,1391,Deserunt,Outdoor,Desk,Mody Vig,Yes
393,1392,Voluptatem,Home,Bed,"Memon, Mann And Dayal",Unknown
394,1393,Laborum,Office,Bed,"Chatterjee, Memon And Madan",Yes
395,1394,Mxllitia,Outdoor,Bed,"Bobal, Bala And Sampath",No
396,1395,Quasi,Home,Unknown,Kalita Ghosh,No
397,1396,Necessitatibus,Office,Sofa,Sankaran Ltd,Unknown
398,1397,Ipsum,Outdoor,Chair,"Bandi, Johal And Ghosh",Unknown
399,1398,Atque,Home,Table,Chatterjee Ltd,Unknown
400,1399,Molestiae,Home,Lamp,Tailor Sarkar,Unknown
401,1400,Odit,Home,Lamp,Sule Plc,Yes
402,1401,Possimus,Outdoor,Chair,Lata Murty,Unknown
403,1402,Amet,Unknown,Desk,Bath Ltd,Unknown
404,1403,Fugiat,Kitchen,Sofa,Samra Rout,Yes
405,1404,Esse,Home,Chair,"Divan, Chakrabarti And Kalita",Unknown
406,1405,Eum,Office,Sofa,Sule Dugal,No
407,1406,Ad,Office,Table,Keer Bhargava,Unknown
408,1407,Voluptate,Outdoor,Sofa,"Nair, Krishna And Kale",Unknown
409,1408,Odio,Outdoor,Desk,Sarma Ltd,Yes
410,1409,Vcluptates,Office,Table,Yogi And Sons,Yes
411,1410,Sunt,Unknown,Sofa,"Saha, Mander And Sant",No
412,1411,Perferendis,Office,Chair,Bal Luthra,Unknown
413,1412,Expedita,Unknown,Desk,Chandra Kalita,No
414,1413,Vero,Outdoor,Lamp,Saraf Inc,No
415,1414,Deleniti,Kitchen,Chair,"Ramesh, Chhabra And Wable",Unknown
416,1415,Debitis,Outdoor,Bed,Khalsa Group,Unknown
417,1416,Doloribus,Office,Lamp,Verma Ltd,No
